0x15d	0x3935	320
0x2415	0x36643537363031	320
0x2415	0x6237356433	320
0x24b4	0x353738303633	320
0x24b4	0x653134363130	320
0x24b4	0x353631326130	320
0x24b4	0x33356236313062	320
0x24b4	0x64356236303030	320
0x24b4	0x3537363031	320
0x24b4	0x313734353038	320
0x24b4	0x356236313134	320
0x24b4	0x3132303730	320
0x24b4	0x31303631313931	320
0x24b4	0x63333738646161	320
0x24b4	0x66303231393136	320
0x24b4	0x64356236313237	320
0x24b4	0x36643537363031	320
0x24b4	0x6237356433	320
0x2792	0x353738303633	320
0x2792	0x653134363130	320
0x2792	0x353631326130	320
0x2792	0x33356236313062	320
0x2792	0x64356236303030	320
0x2792	0x3537363031	320
0x2792	0x313734353038	320
0x2792	0x356236313134	320
0x2792	0x3132303730	320
0x2792	0x31303631313931	320
0x2792	0x63333738646161	320
0x2792	0x66303231393136	320
0x2792	0x64356236313237	320
0x2792	0x36643537363031	320
0x2792	0x6237356433	320
0x3205	0x353738303633	320
0x3205	0x653134363130	320
0x3205	0x353631326130	320
0x3205	0x33356236313062	320
0x3205	0x64356236303030	320
0x3205	0x3537363031	320
0x3205	0x313734353038	320
0x3205	0x356236313134	320
0x3205	0x3132303730	320
0x3205	0x31303631313931	320
0x3205	0x63333738646161	320
0x3205	0x66303231393136	320
0x3205	0x64356236313237	320
0x3205	0x36643537363031	320
0x3205	0x6237356433	320
0x356f	0x306135	320
0x3621	0x313535	320
0x366d	0x336235	320
0x3761	0x626135	320
0x377f	0x383732	2147350781
0x377f	0x353738303633	3551280
0x377f	0x653135	2144403194
0x377f	0x653134363130	3551280
0x377f	0x616235	2144652794
0x377f	0x363030	2147483647
0x377f	0x36313231	1241841150
0x377f	0x353631326130	3551280
0x377f	0x33356236313062	3551280
0x377f	0x623735	2144598266
0x377f	0x64356236303030	3551280
0x377f	0x3537363031	3551280
0x377f	0x393631	2147285502
0x377f	0x313734353038	3551280
0x377f	0x356236313134	3551280
0x377f	0x3132303730	3551280
0x377f	0x31303631313931	3551280
0x377f	0x36303030	1241907199
0x377f	0x626135	2144587514
0x377f	0x63333738646161	3551280
0x377f	0x363031	2147483646
0x377f	0x66303231393136	3551280
0x377f	0x64356236313237	3551280
0x377f	0x36303134	1241906939
0x377f	0x36643537363031	3551280
0x377f	0x623438	2144599031
0x377f	0x31656530	1322306303
0x377f	0x6237356433	3551280
0x48af	0x363031	320
0x49b2	0x353738303633	320
0x49b2	0x653134363130	320
0x49b2	0x353631326130	320
0x49b2	0x33356236313062	320
0x49b2	0x64356236303030	320
0x49b2	0x3537363031	320
0x49b2	0x313734353038	320
0x49b2	0x356236313134	320
0x49b2	0x3132303730	320
0x49b2	0x31303631313931	320
0x49b2	0x63333738646161	320
0x49b2	0x66303231393136	320
0x49b2	0x64356236313237	320
0x49b2	0x36643537363031	320
0x49b2	0x6237356433	320
0x5dbd	0x353738303633	320
0x5dbd	0x653134363130	320
0x5dbd	0x353631326130	320
0x5dbd	0x33356236313062	320
0x5dbd	0x64356236303030	320
0x5dbd	0x3537363031	320
0x5dbd	0x313734353038	320
0x5dbd	0x356236313134	320
0x5dbd	0x3132303730	320
0x5dbd	0x31303631313931	320
0x5dbd	0x63333738646161	320
0x5dbd	0x66303231393136	320
0x5dbd	0x64356236313237	320
0x5dbd	0x36643537363031	320
0x5dbd	0x6237356433	320
0x5ef7	0x363030	320
0x5ef7	0x363031	319
0x5f3b	0x353738303633	6435896
0x5f3b	0x653135	2147287810
0x5f3b	0x653134363130	6435896
0x5f3b	0x36313231	1244725766
0x5f3b	0x353631326130	6435896
0x5f3b	0x33356236313062	6435896
0x5f3b	0x623735	2147482882
0x5f3b	0x64356236303030	6435896
0x5f3b	0x3537363031	6435896
0x5f3b	0x313734353038	6435896
0x5f3b	0x356236313134	6435896
0x5f3b	0x3132303730	6435896
0x5f3b	0x31303631313931	6435896
0x5f3b	0x36303030	1244791815
0x5f3b	0x626135	2147472130
0x5f3b	0x63333738646161	6435896
0x5f3b	0x66303231393136	6435896
0x5f3b	0x64356236313237	6435896
0x5f3b	0x36303134	1244791555
0x5f3b	0x36643537363031	6435896
0x5f3b	0x623438	2147483647
0x5f3b	0x31656530	1325190919
0x5f3b	0x6237356433	6435896
0x607a	0x3761	320
0x103	0x383732	320
0x1a9	0x6332	320
0x2e5	0x353738303633	320
0x2e5	0x653134363130	320
0x2e5	0x353631326130	320
0x2e5	0x33356236313062	320
0x2e5	0x64356236303030	320
0x2e5	0x3537363031	320
0x2e5	0x313734353038	320
0x2e5	0x356236313134	320
0x2e5	0x3132303730	320
0x2e5	0x31303631313931	320
0x2e5	0x63333738646161	320
0x2e5	0x66303231393136	320
0x2e5	0x64356236313237	320
0x2e5	0x36643537363031	320
0x2e5	0x6237356433	320
0x13c7	0x353738303633	320
0x13c7	0x653134363130	320
0x13c7	0x353631326130	320
0x13c7	0x33356236313062	320
0x13c7	0x64356236303030	320
0x13c7	0x3537363031	320
0x13c7	0x313734353038	320
0x13c7	0x356236313134	320
0x13c7	0x3132303730	320
0x13c7	0x31303631313931	320
0x13c7	0x63333738646161	320
0x13c7	0x66303231393136	320
0x13c7	0x64356236313237	320
0x13c7	0x36643537363031	320
0x13c7	0x6237356433	320
0x16c0	0x353738303633	320
0x16c0	0x653134363130	320
0x16c0	0x353631326130	320
0x16c0	0x33356236313062	320
0x16c0	0x64356236303030	320
0x16c0	0x3537363031	320
0x16c0	0x313734353038	320
0x16c0	0x356236313134	320
0x16c0	0x3132303730	320
0x16c0	0x31303631313931	320
0x16c0	0x63333738646161	320
0x16c0	0x66303231393136	320
0x16c0	0x64356236313237	320
0x16c0	0x36643537363031	320
0x16c0	0x6237356433	320
0x3105	0x353738303633	2147483647
0x3105	0x653134363130	2147483647
0x3105	0x353631326130	2147483647
0x3105	0x33356236313062	2147483647
0x3105	0x64356236303030	2147483647
0x3105	0x3537363031	2147483647
0x3105	0x313734353038	2147483647
0x3105	0x356236313134	2147483647
0x3105	0x3132303730	2147483647
0x3105	0x31303631313931	2147483647
0x3105	0x63333738646161	2147483647
0x3105	0x66303231393136	2147483647
0x3105	0x64356236313237	2147483647
0x3105	0x36643537363031	2147483647
0x3105	0x6237356433	2147483647
0x329e	0x36303030	320
0x329e	0x36303134	60
0x357a	0x36303030	320
0x357a	0x36303134	60
0x40e6	0x353738303633	320
0x40e6	0x653134363130	320
0x40e6	0x353631326130	320
0x40e6	0x33356236313062	320
0x40e6	0x64356236303030	320
0x40e6	0x3537363031	320
0x40e6	0x313734353038	320
0x40e6	0x356236313134	320
0x40e6	0x3132303730	320
0x40e6	0x31303631313931	320
0x40e6	0x63333738646161	320
0x40e6	0x66303231393136	320
0x40e6	0x64356236313237	320
0x40e6	0x36643537363031	320
0x40e6	0x6237356433	320
0x41af	0x383732	3418414
0x41af	0x653135	470827
0x41af	0x616235	720427
0x41af	0x363030	3551280
0x41af	0x623735	665899
0x41af	0x393631	3353135
0x41af	0x626135	655147
0x41af	0x363031	3551279
0x41af	0x623438	666664
0x42ae	0x353738303633	320
0x42ae	0x653134363130	320
0x42ae	0x353631326130	320
0x42ae	0x33356236313062	320
0x42ae	0x64356236303030	320
0x42ae	0x3537363031	320
0x42ae	0x313734353038	320
0x42ae	0x356236313134	320
0x42ae	0x3132303730	320
0x42ae	0x31303631313931	320
0x42ae	0x63333738646161	320
0x42ae	0x66303231393136	320
0x42ae	0x64356236313237	320
0x42ae	0x36643537363031	320
0x42ae	0x6237356433	320
0x4d62	0x353738303633	320
0x4d62	0x653134363130	320
0x4d62	0x353631326130	320
0x4d62	0x33356236313062	320
0x4d62	0x64356236303030	320
0x4d62	0x3537363031	320
0x4d62	0x313734353038	320
0x4d62	0x356236313134	320
0x4d62	0x3132303730	320
0x4d62	0x31303631313931	320
0x4d62	0x63333738646161	320
0x4d62	0x66303231393136	320
0x4d62	0x64356236313237	320
0x4d62	0x36643537363031	320
0x4d62	0x6237356433	320
0x4eac	0x353738303633	320
0x4eac	0x653134363130	320
0x4eac	0x353631326130	320
0x4eac	0x33356236313062	320
0x4eac	0x64356236303030	320
0x4eac	0x3537363031	320
0x4eac	0x313734353038	320
0x4eac	0x356236313134	320
0x4eac	0x3132303730	320
0x4eac	0x31303631313931	320
0x4eac	0x63333738646161	320
0x4eac	0x66303231393136	320
0x4eac	0x64356236313237	320
0x4eac	0x36643537363031	320
0x4eac	0x6237356433	320
0x53a8	0x353738303633	320
0x53a8	0x653134363130	320
0x53a8	0x353631326130	320
0x53a8	0x33356236313062	320
0x53a8	0x64356236303030	320
0x53a8	0x3537363031	320
0x53a8	0x313734353038	320
0x53a8	0x356236313134	320
0x53a8	0x3132303730	320
0x53a8	0x31303631313931	320
0x53a8	0x63333738646161	320
0x53a8	0x66303231393136	320
0x53a8	0x64356236313237	320
0x53a8	0x36643537363031	320
0x53a8	0x6237356433	320
0x5968	0x36303134	320
0x5f48	0x31656530	320
0x5f6b	0x353738303633	320
0x5f6b	0x653134363130	320
0x5f6b	0x353631326130	320
0x5f6b	0x33356236313062	320
0x5f6b	0x64356236303030	320
0x5f6b	0x3537363031	320
0x5f6b	0x313734353038	320
0x5f6b	0x356236313134	320
0x5f6b	0x3132303730	320
0x5f6b	0x31303631313931	320
0x5f6b	0x63333738646161	320
0x5f6b	0x66303231393136	320
0x5f6b	0x64356236313237	320
0x5f6b	0x36643537363031	320
0x5f6b	0x6237356433	320
0x601c	0x353738303633	320
0x601c	0x653134363130	320
0x601c	0x353631326130	320
0x601c	0x33356236313062	320
0x601c	0x64356236303030	320
0x601c	0x3537363031	320
0x601c	0x313734353038	320
0x601c	0x356236313134	320
0x601c	0x3132303730	320
0x601c	0x31303631313931	320
0x601c	0x63333738646161	320
0x601c	0x66303231393136	320
0x601c	0x64356236313237	320
0x601c	0x36643537363031	320
0x601c	0x6237356433	320
